one_shot,two_shot,four_shot,eight_shot,sixteen_shot,full_resource,model
0.0,0.0,0.0,0.0,0.0,0.0,False
0.0,0.0,0.0,0.0,0.0,0.0,False
13.73457168039394,9.41533309266824,17.99914658259287,24.547174235721382,30.65254417251582,31.28160832463217,True
0.0,0.0,0.0,0.0,0.0,0.0,False
0.0,0.0,0.0,0.0,0.0,0.0,False
16.78447960788072,20.758460971316648,25.4714417291638,31.061227313221945,31.94298544909756,0.0,True
14.765243740651194,14.789626329365312,20.080935141144376,31.139804500288946,31.190341019348416,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,False
0.0,0.0,0.0,0.0,0.0,0.0,False
0.0,0.0,0.0,0.0,0.0,0.0,False
