one_shot,two_shot,four_shot,eight_shot,sixteen_shot,full_resource,model
0.0,0.0,0.0,0.0,0.0,0.0,False
0.0,0.0,0.0,0.0,0.0,0.0,False
0.9699129057798892,0.9176563737133808,0.9956452889944576,0.9928741092636579,0.9936658749010293,1.0,True
0.0,0.0,0.0,0.0,0.0,0.0,False
0.0,0.0,0.0,0.0,0.0,0.0,False
0.9762470308788599,0.9889152810768013,0.9984164687252574,0.998812351543943,0.9972288202692003,0.0,True
0.9980205859065716,0.9972288202692003,0.9782264449722882,0.9992082343626286,0.9992082343626286,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,False
0.0,0.0,0.0,0.0,0.0,0.0,False
0.0,0.0,0.0,0.0,0.0,0.0,False
