one_shot,two_shot,four_shot,eight_shot,sixteen_shot,full_resource,model
0.8277404921700223,0.8635346756152126,0.8881431767337807,0.9530201342281879,0.9060402684563759,0.9776286353467561,True
0.18568232662192394,0.6912751677852349,0.5413870246085011,0.8702460850111857,0.9351230425055929,0.9888143176733781,True
0.25727069351230425,0.8322147651006712,0.7718120805369127,0.8881431767337807,0.941834451901566,0.9910514541387024,True
0.0,0.0,0.0,0.0,0.0,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,True
0.7427293064876958,0.697986577181208,0.7740492170022372,0.9239373601789709,0.9552572706935123,0.9865771812080537,True
0.5391498881431768,0.8366890380313199,0.8478747203579419,0.8926174496644296,0.9552572706935123,0.9865771812080537,True
0.2953020134228188,0.8076062639821029,0.8299776286353467,0.9149888143176734,0.9507829977628636,0.9910514541387024,True
0.0,0.0,0.0,0.0,0.0,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,True
