one_shot,two_shot,four_shot,eight_shot,sixteen_shot,full_resource,model
0.0307461567304087,0.8620172478440195,0.1046119235095613,0.6700412448443944,0.926509186351706,0.0,True
0.9602549681289839,0.7169103862017248,0.5230596175478065,0.06074240719910011,0.9141357330333708,0.0,True
0.630671166104237,0.9565054368203975,0.9250093738282714,0.78177727784027,0.7982752155980503,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,True
0.7296587926509186,0.910761154855643,0.8008998875140607,0.8567679040119985,0.8852643419572553,0.0,True
0.8507686539182602,0.9542557180352456,0.8931383577052868,0.10686164229471316,0.25609298837645295,0.0,True
0.5598050243719535,0.3468316460442445,0.6929133858267716,0.8627671541057368,0.8653918260217472,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,False
0.0,0.0,0.0,0.0,0.0,0.0,False
